,hashtag,count
0,#thenandnowchallenge,154
1,#mlkday,104
2,#postyourdaughterchallenge,95
3,#covid19,82
4,#inaugurationday,59
5,#berniesmittens,53
6,#mlk,51
7,#happynewyear,51
8,#tbt,51
9,#inauguration2021,50
10,#moretogether,49
11,#breaking,49
12,#giftideas,41
13,#love,41
14,#postyoursonchallenge,39
15,#inauguration,38
16,#valentinesgifts,35
17,#repost,34
18,#berniesanders,34
19,#happynewyear2021,33
20,#prettyeyeschallenge,32
21,#firstpicchallenge,31
22,#blackhistorymonth,29
23,#holocaustremembranceday,28
24,#happybirthday,25
25,#weremember,25
26,#maga,25
27,#gopackgo,24
28,#truth,24
29,#throwbackthursday,23
30,#kamalaharris,23
31,#notmypresident,23
32,#bidenharris,22
33,#grateful,22
34,#blacklivesmatter,21
35,#georgia,20
36,#family,20
37,#snowday,20
38,#stopthesteal,19
39,#newyear,19
40,#whatswrongwithmysignchallenge,19
41,#blessed,19
42,#cancelstudentdebt,18
43,#throwback,18
44,#feelthebern,18
45,#snow,18
46,#berniememes,18
47,#bernie,17
48,#inaugurationday2021,17
49,#software,17
50,#catsofinstagram,17
51,#amazon,17
52,#feedback,17
53,#neverforget,17
54,#modelcatchallenge,17
55,#trump,17
56,#icancookchallenge,17
57,#animals,17
58,#foodforthought,17
59,#flashbackfriday,17
60,#review,17
61,#chiefskingdom,16
62,#softwarereview,16
63,#capterra,16
64,#art,16
65,#wandavision,16
66,#reviews,16
67,#vaccinated,16
68,#reviewer,16
69,#bidenharris2020,15
70,#rip,15
71,#mlkday2021,15
72,#winter,15
73,#packers,15
74,#runitback,14
75,#selfcare,14
76,#shoplocal,14
77,#over40challenge,14
78,#nflplayoffs,14
79,#facts,14
80,#mondaymotivation,14
81,#bestbellychallenge,14
82,#positivity,13
83,#billsmafia,13
84,#birthday,13
85,#noflylist,13
86,#teamdl,13
87,#newyeardoyou,13
88,#usa,13
89,#motivation,13
90,#postyourmomchallenge,13
91,#50andoverchallenge,13
92,#discoveryplus,13
93,#bitcoin,13
94,#blackgirlmagic,13
95,#dogsofinstagram,13
96,#fashion,13
97,#covidvacccine,12
98,#adventure,12
99,#noh8,12
100,#godzillavskong,12
101,#nowandthenchallenge,12
102,#vaccine,12
103,#disney,12
104,#disneyplus,12
105,#blm,12
106,#martinlutherkingjr,12
107,#goals,12
108,#otd,11
109,#chucksandpearls,11
110,#cats,11
111,#adoptdontshop,11
112,#nofilter,11
113,#bettywhite,11
114,#berniemittens,11
115,#faithchallenge,11
116,#supportlocal,11
117,#amandagorman,11
118,#happy,10
119,#chiefs,10
120,#rolltide,10
121,#staysafe,10
122,#sale,10
123,#cicelytyson,10
124,#ces2021,10
125,#convicttrump,10
126,#foxnews,10
127,#senioryearchallenge,10
128,#neveragain,10
129,#sleepingdogchallenge,10
130,#joebiden,10
131,#termlimits,10
132,#ufc257,10
133,#findmycatchallenge,10
134,#tbvsgb,10
135,#fbf,10
136,#photography,10
137,#live,10
138,#music,10
139,#dog,9
140,#sedition,9
141,#fitness,9
142,#sorrynotsorry,9
143,#coronavirus,9
144,#birthdayboy,9
145,#myvplookslikeme,9
146,#jigsawpuzzles,9
147,#newbeginnings,9
148,#gift,9
149,#bridgerton,9
150,#blackexcellence,9
151,#fun,9
152,#inspiration,9
153,#warriorgoddesstraining,9
154,#bidenharris2021,9
155,#biden,9
156,#food,9
157,#bussitchallenge,9
158,#unity,9
159,#buildbackbetter,9
160,#momlife,9
161,#fightfor15,9
162,#trump2020,9
163,#vegan,9
164,#memories,9
165,#thenvsnowchallenge,9
166,#goodmorning,9
167,#supportsmallbusiness,9
168,#anniversary,9
169,#sundayfunday,9
170,#over50challenge,9
171,#presidentbiden,8
172,#chucksandpearls2021,8
173,#coffee,8
174,#cobrakai,8
175,#comedy,8
176,#postyourdaughterschallenge,8
177,#nationalspouseday,8
178,#caturday,8
179,#hope,8
180,#peace,8
181,#cat,8
182,#painting,8
183,#lgbtq,8
184,#leadership,8
185,#juvederm,8
186,#gobills,8
187,#onthisday,8
188,#winterwonderland,8
189,#newspaperpuzzles,8
190,#newyorktimesfrontpagepuzzles,8
191,#nfl,8
192,#birthdaypuzzles,8
193,#wearamask,8
194,#birthdaygift,8
195,#berniesandersmemes,8
196,#modelchallenge,8
197,#travel,8
198,#marvel,8
199,#juvedermit,8
200,#thisisourshot,8
201,#didyouknow,8
202,#america,8
203,#vintage,8
204,#startrek,7
205,#prolife,7
206,#health,7
207,#history,7
208,#igottheshot,7
209,#hsn,7
210,#raisethewage,7
211,#respect,7
212,#covidmemorial,7
213,#chicago,7
214,#5dishchallenge,7
215,#handmade,7
216,#gutless,7
217,#parler,7
218,#gonebutnotforgottenchallenge,7
219,#daughterchallenge,7
220,#gobucks,7
221,#giveaway,7
222,#girldad,7
223,#breakfast,7
224,#newyearseve,7
225,#friends,7
226,#workout,7
227,#winit,7
228,#nationalpopcornday,7
229,#nationalpieday,7
230,#nationalbirdday,7
231,#meetmycatchallenge,7
232,#actor,7
233,#essence,7
234,#monday,7
235,#bye2020,7
236,#twitter,7
237,#familytime,7
238,#notmeus,7
239,#michelleobama,7
240,#bebest,7
241,#mentalhealth,7
242,#this,7
243,#theskepdick,7
244,#maskup,7
245,#martinlutherking,7
246,#dogs,7
247,#amenchallenge,7
248,#staceyabrams,6
249,#seashanty,6
250,#invokethe25th,6
251,#hea,6
252,#covid_19,6
253,#covid,6
254,#impeachtrump,6
255,#cosplay,6
256,#quarantine,6
257,#puppybowl,6
258,#hero,6
259,#prayer,6
260,#hbomax,6
261,#postyoursonschallenge,6
262,#science,6
263,#saturday,6
264,#sblv,6
265,#positivevibes,6
266,#selfie,6
267,#soapoperas,6
268,#smallbusinesschallenge,6
269,#girlpower,6
270,#yummy,6
271,#gme,6
272,#getoutside,6
273,#botoxcosmetic,6
274,#wwe,6
275,#gamestop,6
276,#gasen,6
277,#netflix,6
278,#frontviewchallenge,6
279,#black,6
280,#blackhistory,6
281,#weekend,6
282,#biggovsucks,6
283,#soaphub,6
284,#foodie,6
285,#california,6
286,#vote,6
287,#foodporn,6
288,#winning,6
289,#berniememes2021,6
290,#bellletstalk,6
291,#vangogh,6
292,#beautiful,6
293,#ufc,6
294,#mayaangelou,6
295,#thisisamerica,6
296,#tgif,6
297,#meme,6
298,#thankyou,6
299,#superwildcard,6
300,#superbowl,6
301,#grandmotherchallenge,6
302,#drawing,6
303,#sunset,6
304,#memes,6
305,#letsdothis,5
306,#larvsgb,5
307,#ladygaga,5
308,#snydercut,5
309,#smallbusiness,5
310,#keepbusinessgoing,5
311,#sketchbook,5
312,#siblings,5
313,#shatterthatglassceiling,5
314,#dadlife,5
315,#shoes,5
316,#progress,5
317,#covidvaccine,5
318,#representationmatters,5
319,#community,5
320,#coffeelover,5
321,#real_age_challenge,5
322,#holocaustmemorialday,5
323,#resist,5
324,#herstory,5
325,#hierophantpublishing,5
326,#25thamendmentnow,5
327,#clorisleachman,5
328,#classic,5
329,#puppiesofinstagram,5
330,#christmas,5
331,#chooselife,5
332,#puppy,5
333,#happyanniversary,5
334,#challenger,5
335,#halfindianpride,5
336,#saturdayshoutout,5
337,#gracecomeslife,5
338,#pet,5
339,#gratitude,5
340,#sketch,5
341,#delicious,5
342,#humor,5
343,#royalrumble,5
344,#gobuckeyes,5
345,#gobucs,5
346,#allcreaturespbs,5
347,#latepost,5
348,#god,5
349,#georgiaonmymind,5
350,#generalhospital,5
351,#goddess,5
352,#funny,5
353,#yum,5
354,#fucktrump,5
355,#wildlife,5
356,#blacklove,5
357,#friday,5
358,#whywemarch,5
359,#win,5
360,#nationaltriviaday,5
361,#nature,5
362,#nba,5
363,#2021goals,5
364,#nailsalon,5
365,#birthdaygirl,5
366,#walkaway,5
367,#blue,5
368,#bidenharrisinauguration,5
369,#berniesandersmittens,5
370,#bestof2020,5
371,#money,5
372,#belovedcommunity,5
373,#beinspired,5
374,#unflatteringcatphotochallenge,5
375,#fieldofflags,5
376,#model,5
377,#beauty,5
378,#michigan,5
379,#truestory,5
380,#thethenandnowchallenge,5
381,#education,5
382,#everydaypray,5
383,#meetmypetchallenge,5
384,#easyrecipeschallenge,5
385,#dst1913,5
386,#artistsoninstagram,5
387,#martinlutherkingday,5
388,#artist,5
389,#makeup,5
390,#downygrace,5
391,#superbowllv,5
392,#sunrise,5
393,#lockthemup,5
394,#sweetjesus,5
395,#liftblackvoices,5
396,#100daymaskchallenge,5
397,#madamvicepresident,5
398,#success,5
399,#legend,4
400,#dodge,4
401,#larryking,4
402,#socialmedia,4
403,#doctorwho,4
404,#lagov,4
405,#letsgo,4
406,#snowdog,4
407,#smilechallenge,4
408,#skincare,4
409,#justsayin,4
410,#silhouettechallenge,4
411,#letsgobuffalo,4
412,#design,4
413,#90s,4
414,#jordan,4
415,#shoply,4
416,#starwars,4
417,#selfmastery,4
418,#jeep,4
419,#itsmybirthday,4
420,#internationalholocaustremembranceday,4
421,#jesus,4
422,#inspire,4
423,#instagood,4
424,#dance,4
425,#crochet,4
426,#scoop,4
427,#alabama,4
428,#roddenberry,4
429,#robinhood,4
430,#impeachandremove,4
431,#couplegoals,4
432,#iheartalt,4
433,#corettascottking,4
434,#roadtrip,4
435,#sanfrancisco,4
436,#hoodie,4
437,#comingsoon,4
438,#relax,4
439,#rearviewchallenge,4
440,#recipe,4
441,#home,4
442,#reigntotalbodyfuel,4
443,#research,4
444,#queen,4
445,#holidays,4
446,#quotes,4
447,#coffeetime,4
448,#coffeeaddict,4
449,#quarantinelife,4
450,#producer,4
451,#clevelandbrowns,4
452,#hiking,4
453,#prettyfacechallenge,4
454,#healthylifestyle,4
455,#heart,4
456,#chilibowl2021,4
457,#agechallenge,4
458,#postyourspousechallenge,4
459,#chicken,4
460,#happybirthdaytome,4
461,#postmydaughterchallenge,4
462,#happy2021,4
463,#postyourgrandchildchallenge,4
464,#hallmark,4
465,#change,4
466,#pnw,4
467,#poorpeoplescampaign,4
468,#guitar,4
469,#gym,4
470,#photogeniccatchallenge,4
471,#goodtrouble,4
472,#pitbullsofinstagram,4
473,#gohawks,4
474,#patriot,4
475,#dogmom,4
476,#daysofourlives,4
477,#j13,4
478,#contest,4
479,#100daydresschallenge,4
480,#patriots,4
481,#pizza,4
482,#retro,4
483,#steady,4
484,#democracy,4
485,#joy,4
486,#gobrowns,4
487,#nyc,4
488,#buylocal,4
489,#byemitch,4
490,#now,4
491,#obx,4
492,#bufvskc,4
493,#glutenfree,4
494,#nonprofits,4
495,#brunch,4
496,#browns,4
497,#newyearseve2021,4
498,#newyork,4
499,#gapol,4
